id,episode,action,target,param,goal_status,dist_bucket_before,dist_bucket_after,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
43,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.498346,151.0,5.018032>",IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,17.0,18.0,HIGH,HIGH,-1.0,false
44,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,18.0,18.0,HIGH,HIGH,0.0,false
45,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,18.0,19.0,HIGH,HIGH,-1.0,false
46,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,19.0,19.0,HIGH,HIGH,0.0,false
47,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,19.0,19.0,HIGH,HIGH,0.0,false
48,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,19.0,19.0,HIGH,HIGH,0.0,false
49,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,19.0,19.0,HIGH,HIGH,0.0,false
50,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,19.0,19.0,HIGH,HIGH,0.0,false
51,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,19.0,19.0,HIGH,HIGH,0.0,false
52,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,19.0,19.0,HIGH,HIGH,0.0,false
53,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,17.36,14.720001,HIGH,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
54,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.499663,151.0,3.1672554>",IN_REACH,IN_REACH,14.720001,14.720001,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
55,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,14.720001,12.080002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
56,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,12.080002,9.440002,MEDIUM,LOW,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
57,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,9.440002,9.440002,LOW,LOW,0.0,20.0,20.0,HIGH,HIGH,0.0,false
58,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,9.440002,6.8000026,LOW,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
59,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500003,151.0,2.5398397>",IN_REACH,IN_REACH,6.8000026,6.8000026,LOW,LOW,0.0,20.0,20.0,HIGH,HIGH,0.0,false
60,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500003,151.0,1.8584433>",IN_REACH,IN_REACH,6.8000026,6.8000026,LOW,LOW,0.0,20.0,20.0,HIGH,HIGH,0.0,false
61,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,6.8000026,4.1600027,LOW,CRITICAL,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
62,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,4.1600027,1.5200028,CRITICAL,CRITICAL,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
63,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,1.5200028,1.5200028,CRITICAL,CRITICAL,0.0,20.0,20.0,HIGH,HIGH,0.0,false
